"ORG_ID"|"NAVN"|"ORG_NAVN"|"POSITION"|"BESKRIVELSE"|"BIQ_PERSON_ID"
5000149|"Peter Poul Bay"|"J. Lauritzen"|"Bestyrelsespost"|""|1016503
5000149|"Søren Berg"|"J. Lauritzen"|"Bestyrelsespost Medarbejdervalgt"|""|1161649
5000149|"Ejvind Ulrik Dan Danstrøm"|"J. Lauritzen"|"Bestyrelsespost"|""|1428420
5000149|"Per Gommesen"|"J. Lauritzen"|"Bestyrelsespost"|""|1729093
5000413|"Anders Finn Poulsen"|"J. Poulsen Shipping"|"Direktionspost"|""|247113
5000413|"Finn Johannes Poulsen"|"J. Poulsen Shipping"|"Bestyrelsespost"|""|349190
5000413|"Flemming Edvard Ipsen"|"J. Poulsen Shipping"|"Bestyrelsespost"|""|352374
5000413|"Kaj Tholstrup Madsen"|"J. Poulsen Shipping"|"Bestyrelsespost Formand"|""|477587
5000413|"Tage Benedikt Bundgaard"|"J. Poulsen Shipping"|"Bestyrelsespost"|""|665827
5000413|"Ole Berggren Jørgensen"|"J. Poulsen Shipping"|"Direktionspost"|""|1566357
5000436|"Poul Martin Mikkelsen"|"Jacob Holm & Sønner"|"Bestyrelsespost formand"|""|235835
5000436|"Hans Laursen"|"Jacob Holm & Sønner"|"Bestyrelsespost"|""|631043
5000436|"Richard Rudolf Sand"|"Jacob Holm & Sønner"|"Bestyrelsespost Næstformand"|""|631588
5000436|"Martin Mikkelsen"|"Jacob Holm & Sønner"|"Direktionspost Administrerende direktør"|""|991664
5000693|"Charlotte Ellen Pettersen"|"Jakon"|"Bestyrelsespost"|""|304570
5000693|"John Håkon Pettersen"|"Jakon"|"Bestyrelsespost formand"|""|455353
5000693|"Mariann Esther Vinstrup Pettersen"|"Jakon"|"Bestyrelsespost"|""|542871
5000693|"Steen Espelund Christensen"|"Jakon"|"Bestyrelsespost Medarbejdervalgt"|""|642238
5000693|"Stein Vinstrup Pettersen"|"Jakon"|"Bestyrelsespost"|""|645771
5000693|"Danny Louis Belchuke"|"Jakon"|"Bestyrelsespost"|""|1012025
5000693|"Torben Erik Nielsen"|"Jakon"|"Bestyrelsespost"|""|1931064
5000731|"Birgitte Torp Nygaard"|"Jan Nygaard"|"Bestyrelsespost"|""|282788
5000731|"Jan Nygaard"|"Jan Nygaard"|"Bestyrelsespost"|""|427562
5000731|"Peter Sørensen"|"Jan Nygaard"|"Bestyrelsespost formand"|""|613245
5000163|"Jens Bach Mortensen"|"Jeld-Wen"|"Direktionspost adm. dir"|""|433079
5000163|"Torben Frederik Becker"|"Jeld-Wen"|"Bestyrelsespost"|""|678414
5000163|"Ole Madsen"|"Jeld-Wen"|"Direktionspost"|""|714046
5000163|"Carl Eric Christian Frisk"|"Jeld-Wen"|"Direktionspost"|""|1157393
5000163|"Roderick Carl Wendt"|"Jeld-Wen"|"Bestyrelsespost"|""|1257112
5000163|"Barry James Homrighaus"|"Jeld-Wen"|"Bestyrelsespost Formand"|""|1630676
5000163|"Ronald Lynn Saxton"|"Jeld-Wen"|"Bestyrelsespost"|""|17116126
5000868|"Jesper Munch Jensen"|"Jensen Denmark"|"Bestyrelsespost Formand"|""|446381
5000868|"Niels Ole Jørgensen"|"Jensen Denmark"|"Bestyrelsespost"|""|573001
5000868|"Steen Nielsen"|"Jensen Denmark"|"Bestyrelsespost"|""|643672
5000868|"Jesper Riis Nielsen"|"Jensen Denmark"|"Bestyrelsespost"|""|7359958
5000868|"Jan Olsen"|"Jensen Denmark"|"Bestyrelsespost"|""|7359959
5000502|"Carl Henrik Jeppesen"|"Jensen's Food Group"|"Bestyrelsespost"|""|298842
5000502|"Palle Skov Jensen"|"Jensen's Food Group"|"Direktionspost adm. dir"|""|592764
5000502|"Preben Bager"|"Jensen's Food Group"|"Bestyrelsespost formand"|""|624742
5000675|"Lars Thuesen"|"Jet Time"|"Bestyrelsespost formand"|""|234821
5000675|"Ditlev Gustav Wedell-Wedellsborg"|"Jet Time"|"Bestyrelsespost"|""|318984
5000675|"Frederik Poul Johannes Anker Heegaard"|"Jet Time"|"Bestyrelsespost"|""|360548
5000675|"Klaus Pilsgaard Ren"|"Jet Time"|"Direktionspost adm. dir"|""|501642
5000675|"Stig Bøgh Karlsen"|"Jet Time"|"Bestyrelsespost"|""|647169
5000401|"Per Wetke Hallgren"|"Jeudan"|"Direktionspost adm.dir."|""|237056
5000401|"Hans Munk Nielsen"|"Jeudan"|"Bestyrelsespost"|""|383985
5000401|"Jens Erik Udsen"|"Jeudan"|"Bestyrelsespost"|""|435696
5000401|"Niels Thomas Heering"|"Jeudan"|"Bestyrelsespost Formand"|""|574794
5000401|"Peter Spøer"|"Jeudan"|"Direktionspost"|""|612896
5000401|"Tommy Pedersen"|"Jeudan"|"Bestyrelsespost næstformand"|""|676122
5000401|"Stefan Ingildsen"|"Jeudan"|"Bestyrelsespost"|""|1507293
5000024|"Leif Flemming Larsen"|"JN DATA A/S"|"Bestyrelsespost næstformand"|""|524140
5000024|"Ole Selch Bak"|"JN DATA A/S"|"Bestyrelsespost"|""|586026
5000024|"Per Ingemann Ladegaard"|"JN DATA A/S"|"Bestyrelsespost formand"|""|600051
5000024|"Søren Holm"|"JN DATA A/S"|"Bestyrelsespost"|""|661659
5000024|"Erling Børge Jensen"|"JN DATA A/S"|"Direktionspost"|""|1063196
5000024|"Frank Petersen"|"JN DATA A/S"|"Bestyrelsespost"|""|7363191
5000024|"Kaj Thyrrestrup Pedersen"|"JN DATA A/S"|"Bestyrelsespost"|""|479972
5000370|"Carsten Matzen Ludvig"|"Johannes Fog"|"Direktionspost Adm DIr"|""|302418
5000370|"Erik Koch Boyter"|"Johannes Fog"|"Bestyrelsespost"|""|337229
5000370|"Georg Knudsen"|"Johannes Fog"|"Bestyrelsespost"|""|362678
5000370|"Gitte Nielsen"|"Johannes Fog"|"Bestyrelsespost"|""|366862
5000370|"Jørgen Wenshøj"|"Johannes Fog"|"Bestyrelsespost"|""|473628
5000370|"Michael Ring"|"Johannes Fog"|"Bestyrelsespost"|""|554694
5000370|"Niels Fog"|"Johannes Fog"|"Bestyrelsespost formand"|""|569212
5000370|"Peter Normann"|"Johannes Fog"|"Bestyrelsespost"|""|611537
5000370|"Henning Søgaard"|"Johannes Fog"|"Bestyrelsespost"|""|952602
5000370|"Peter Greisen"|"Johannes Fog"|"Direktionspost Økonomidirektør"|""|1287088
5000370|"Jan Ulrik Brønnum Fredholm"|"Johannes Fog"|"Bestyrelsespost"|""|1292533
5000370|"Michael Wulff Kanstrup"|"Johannes Fog"|"Bestyrelsespost"|""|1350923
5000336|"Ove Larsen"|"Johnson Controls"|"Bestyrelsespost"|""|590656
5000336|"Palle Martin Lund Jensen"|"Johnson Controls"|"Direktionspost adm. dir"|""|953673
5000336|"Bent Knudsen"|"Johnson Controls"|"Bestyrelsespost"|""|1084106
5000336|"Torben Linaa Hansen"|"Johnson Controls"|"Direktionspost Økonomidirektør"|""|1158736
5000336|"Jerome Dennis Okarma"|"Johnson Controls"|"Bestyrelsespost"|""|1255609
5000336|"Robert Bruce McDonald"|"Johnson Controls"|"Bestyrelsespost"|""|1258961
5000336|"Thomas Lowery"|"Johnson Controls"|"Bestyrelsespost"|""|1812641
5000336|"Danna Rosenbæk Petersen"|"Johnson Controls"|"Bestyrelsespost"|""|1832292
5000847|"Tim Pindstofte"|"Johnson Controls GWS"|"Direktionspost adm. dir"|""|672719
5000847|"Jerome Dennis Okarma"|"Johnson Controls GWS"|"Direktionspost"|""|1255609
5000847|"Andrew John Eastwood"|"Johnson Controls GWS"|"Direktionspost"|""|1532032
5000847|"Guy Fraser Holden"|"Johnson Controls GWS"|"Direktionspost"|""|1532033
5000497|"Christian Færch Jensen"|"Jorton Holding"|"Bestyrelsespost"|""|307057
