"ORG_ID"|"ORG_NAVN"|"TYPE_FOA"
1000815|"FABA - Foreningen af Fabrikanter og Importører af Elektriske Belysningsarmaturer (bestyrelse)"|"Erhvervs- og brancheorganisationer"
1000816|"DI ITEK (bestyrelse)"|"Erhvervs- og brancheorganisationer"
1000817|"Dansk Ejendomsmæglerforening  (formandsråd)"|"Erhvervs- og brancheorganisationer"
1000818|"Dansk Ejendomsmæglerforening  (medlemsråd)"|"Erhvervs- og brancheorganisationer"
1000819|"Dansk Ejendomsmæglerforening  (uddannelsesråd)"|"Erhvervs- og brancheorganisationer"
1000820|"Dansk Ejendomsmæglerforening  (økonomiråd)"|"Erhvervs- og brancheorganisationer"
1000821|"Dansk Ejendomsmæglerforening  (bestyrelse)"|"Erhvervs- og brancheorganisationer"
1000822|"Byggesocietetet (formandskabet)"|"Erhvervs- og brancheorganisationer"
1000823|"Byggesocietetet (landsbetyrelsen)"|"Erhvervs- og brancheorganisationer"
1000824|"Byggesocietetet (Netværksgruppe1 i København)"|"Erhvervs- og brancheorganisationer"
1000825|"Byggesocietetet (Netværksgruppe2 i København)"|"Erhvervs- og brancheorganisationer"
1000826|"Byggesocietetet (Netværksgruppe3 i København)"|"Erhvervs- og brancheorganisationer"
1000827|"Byggesocietetet (Netværksgruppe4 i Aalborg)"|"Erhvervs- og brancheorganisationer"
1000828|"Byggesocietetet (Netværksgruppe6 i Aalborg)"|"Erhvervs- og brancheorganisationer"
1000829|"Byggesocietetet (Netværksgruppe7 i Århus)"|"Erhvervs- og brancheorganisationer"
1000830|"Byggesocietetet (Netværksgruppe9 i Aalborg)"|"Erhvervs- og brancheorganisationer"
1000831|"Byggesocietetet (Boligudvalget )"|"Erhvervs- og brancheorganisationer"
1000832|"Byggesocietetet (Bygherreudvalget )"|"Erhvervs- og brancheorganisationer"
1000833|"Byggesocietetet (By- og planudvalget )"|"Erhvervs- og brancheorganisationer"
1000834|"Byggesocietetet (Lejeudvalget )"|"Erhvervs- og brancheorganisationer"
1000835|"Byggesocietetet (Miljøudvalget )"|"Erhvervs- og brancheorganisationer"
1000836|"Byggesocietetet (Københavnsudvalget )"|"Erhvervs- og brancheorganisationer"
1000837|"Byggesocietetet (Sundhedsudvalget )"|"Erhvervs- og brancheorganisationer"
1000838|"Byggesocietetet (Solenergiudvalget )"|"Erhvervs- og brancheorganisationer"
1000839|"Landbrug & Fødevarer (direktion)"|"Erhvervs- og brancheorganisationer"
1000840|"Landbrug & Fødevarer (ledelse)"|"Erhvervs- og brancheorganisationer"
1000841|"Landbrug & Fødevarer (formandskab)"|"Erhvervs- og brancheorganisationer"
1000842|"Landbrug & Fødevarer (Primaer-bestyrelse)"|"Erhvervs- og brancheorganisationer"
1000843|"Landbrug & Fødevarer (Virksomhedsbestyrelse)"|"Erhvervs- og brancheorganisationer"
1000844|"Landbrug & Fødevarer (Familielandbrugssektionen – bestyrelse)"|"Erhvervs- og brancheorganisationer"
1000845|"Landbrug & Fødevarer (Tolvmandssektionens bestyrelse )"|"Erhvervs- og brancheorganisationer"
1000846|"Landbrug & Fødevarer (Erhvervsfjerkræsektionen – bestyrelse)"|"Erhvervs- og brancheorganisationer"
1000847|"Landbrug & Fødevarer (Frøsektionen – bestyrelse)"|"Erhvervs- og brancheorganisationer"
1000848|"Landbrug & Fødevarer (Økologisektionen – bestyrelse)"|"Erhvervs- og brancheorganisationer"
1000849|"Landbrug & Fødevarer (Danske Deltidslandmænd – Udvalget)"|"Erhvervs- og brancheorganisationer"
1000850|"Landbrug & Fødevarer (Uddannelsesudvalget)"|"Erhvervs- og brancheorganisationer"
1000851|"Landbrug & Fødevarer (Havebrugsudvalget)"|"Erhvervs- og brancheorganisationer"
1000852|"Landbrug & Fødevarer (Familieudvalget)"|"Erhvervs- og brancheorganisationer"
